title,authors,publication_year,num_pages,average_rating
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,2006,652,4.57
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,2004,870,4.49
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,2003,352,4.42
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,2004,435,4.56
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2004,2690,4.78
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,2005,152,3.74
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,2005,3342,4.73
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,2005,815,4.38
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,2002,815,4.38
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,2004,215,4.22
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,2005,6,4.22
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,1996,815,4.38
A Short History of Nearly Everything,Bill Bryson,2004,544,4.21
Bill Bryson's African Diary,Bill Bryson,2002,55,3.44
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,2004,256,3.87
In a Sunburned Country,Bill Bryson,2001,335,4.07
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,2000,304,3.9
The Lost Continent: Travels in Small Town America,Bill Bryson,1990,299,3.83
Neither Here nor There: Travels in Europe,Bill Bryson,1993,254,3.86
Notes from a Small Island,Bill Bryson,1997,324,3.91
The Mother Tongue: English and How It Got That Way,Bill Bryson,1991,270,3.93
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,2012,1728,4.59
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,2004,1184,4.5
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,2003,398,4.36
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,2002,1216,4.5
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,2003,218,4.53
The Lord of the Rings: Complete Visual Companion,Jude Fisher,2004,224,4.5
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,2005,558,3.84
Hatchet (Brian's Saga  #1),Gary Paulsen,2000,208,3.72
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1994,48,4.0
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,2001,144,3.88
Molly Hatchet - 5 of the Best,Molly Hatchet,2003,56,4.33
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,2005,228,3.45
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,2005,304,3.76
Changeling (Changeling  #1),Delia Sherman,2006,256,3.6
The Changeling Sea,Patricia A. McKillip,2003,137,4.06
The Changeling,Zilpha Keatley Snyder,2004,228,4.17
The Changeling,Kate Horsley,2005,339,3.55
The Changeling (Daughters of England  #15),Philippa Carr,1990,369,3.98
The Known World,Edward P. Jones,2006,388,3.83
The Known World,Edward P. Jones/Kevin R. Free,2004,14,3.83
The Known World,Edward P. Jones,2004,576,3.83
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,2006,334,3.83
Artesia: Adventures in the Known World,Mark Smylie,2005,352,4.13
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,1982,416,4.42
Uncommon Carriers,John McPhee,2006,248,3.95
Heirs of General Practice,John McPhee,1986,128,4.17
The Control of Nature,John McPhee,1990,288,4.24
Annals of the Former World,John McPhee,1999,720,4.34
Coming Into the Country,John McPhee,1991,448,4.22
La Place de la Concorde Suisse,John McPhee,1994,160,3.92
Giving Good Weight,John McPhee,1994,288,4.23
Rising from the Plains,John McPhee,1987,208,4.23
The Heidi Chronicles,Wendy Wasserstein,2002,81,3.75
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,1991,249,3.84
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,2006,138,3.94
Simply Beautiful Beaded Jewelry,Heidi Boyd,2006,128,3.77
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,2003,192,4.46
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,1997,108,3.68
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,2002,352,3.99
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,2004,192,3.25
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,2003,192,4.46
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,2003,832,3.89
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,2004,123,3.82
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,2004,128,3.78
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,1987,423,3.84
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1987,436,3.91
Dune Messiah (Dune Chronicles #2),Frank Herbert,1987,331,3.88
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,2004,592,4.01
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,1984,480,3.86
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,2006,426,3.88
Heretics of Dune (Dune Chronicles #5),Frank Herbert,1987,471,3.86
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,2002,192,4.59
The Power of One (The Power of One  #1),Bryce Courtenay,1996,544,4.35
The Power of One (The Power of One  #1),Bryce Courtenay,2005,291,4.35
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,2004,256,4.28
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,2006,205,3.34
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,2000,240,3.67
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,2005,336,3.48
eBay for Dummies,Marsha Collier,2006,386,3.5
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,2006,260,3.62
Starting an eBay Business for Dummies,Marsha Collier,2004,384,3.55
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,2006,260,4.27
ebay Timesaving Techniques for Dummies,Marsha Collier,2004,391,3.39
